file,page,line_num,text,lang,score,ppl,cat
CTX199600359,10,1,6,N/A,0,0,Non-text,
CTX199600359,1,1,NYMBURK,bod_Tibt,0.2811,969.19,Clear,
CTX199600359,1,2,Soudní ul. č . p. 21,ces_Latn,1.0000,753.83,Clear,
CTX199600359,1,3,Archeologický výzkum v roce 1994,ces_Latn,1.0000,1135.57,Clear,
CTX199600359,1,4,Karla Motyková - Hedvika Sedláčková,ces_Latn,0.7227,509.02,Clear,
CTX199600359,1,5,Nymburk 1995,deu_Latn,0.5682,1177.08,Clear,
CTX199600359,1,6,P I prove den,eng_Latn,0.7118,26936.76,Clear,
CTX199600359,10,2,Personální zajištění bylo následující :,ces_Latn,1.0000,327.05,Clear,
CTX199600359,10,3,"Na 1. etapě se vedle dr. H. Sedláčkové, ředitelky Po",ces_Latn,1.0000,547.62,Clear,
CTX199600359,10,4,"Pomuzea v Poděbradech, podílela v době od 19.5 do",ces_Latn,0.9999,327.21,Clear,
CTX199600359,10,5,15.7. dr. K. Motyková a od 14. 7. do 19.8. dr. Velímský.,slk_Latn,0.7049,258.86,Clear,
CTX199600359,10,6,Posledně jmenovaný má především zásluhu na terénním výzkumu,ces_Latn,1.0000,256.04,Clear,
CTX199600359,10,7,středověké a novověké zástavby přiléhající k Soudní ulici.,ces_Latn,1.0000,125.33,Clear,
CTX199600359,10,8,Na 2. etapě měly podíl dr. Sedláčková a dr. Motyková.,ces_Latn,1.0000,269.69,Clear,
CTX199600359,10,9,Zaměření i vyhotovení čistopisu celkového plánu a,ces_Latn,0.9997,648.25,Clear,
CTX199600359,10,10,"profilů provedli J. Steklá a V. Steklý, kteří před časem",ces_Latn,1.0000,226.96,Clear,
CTX199600359,10,11,pracovali v Archeologickém ústavu AU ČR a jsou proto velmi,ces_Latn,1.0000,1606.41,Clear,
CTX199600359,10,12,dobře obeznámeni s potřebami odborné dokumentace. Keramické,ces_Latn,0.9994,628.21,Clear,
CTX199600359,10,13,i další nálezy kreslila S. Šváchová.,ces_Latn,0.9967,240.42,Clear,
CTX199600359,10,14,1.2. Zástavba parcely před demolicí,ces_Latn,1.0000,940.96,Clear,
